epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,20329.7,0.11728,0.36037,0.89189,0.94716,1,0.995,0.97581,0.17306,0.18625,0.63159,0.000462259,0.000462259,0.000462259
75,20604.4,0.10983,0.34796,0.88246,0.91986,0.99689,0.995,0.97721,0.1769,0.24325,0.66127,0.000445756,0.000445756,0.000445756
76,20878.5,0.11428,0.35478,0.89018,0.92806,1,0.995,0.97637,0.15545,0.26173,0.66055,0.000429253,0.000429253,0.000429253
77,21152.3,0.11054,0.3505,0.88685,0.89675,1,0.995,0.98131,0.17109,0.30072,0.6168,0.000412749,0.000412749,0.000412749
78,21425.8,0.10907,0.33707,0.888,0.91439,0.99228,0.995,0.97581,0.18684,0.24244,0.68193,0.000396246,0.000396246,0.000396246
79,21699.5,0.10538,0.33889,0.8847,0.88505,0.9832,0.995,0.97721,0.17254,0.26818,0.63805,0.000379743,0.000379743,0.000379743
80,21973.6,0.10564,0.33247,0.88512,0.92717,1,0.995,0.98411,0.14237,0.20871,0.54596,0.000363239,0.000363239,0.000363239
81,22247.5,0.10182,0.32612,0.88249,0.91462,1,0.995,0.98411,0.15555,0.22839,0.61054,0.000346736,0.000346736,0.000346736
82,22521.5,0.10776,0.33527,0.88721,0.96452,1,0.995,0.98411,0.13868,0.18579,0.56092,0.000330233,0.000330233,0.000330233
83,22794.9,0.10431,0.33675,0.88645,0.96404,1,0.995,0.98411,0.12769,0.18509,0.54324,0.000313729,0.000313729,0.000313729
84,23068.6,0.10183,0.33068,0.88143,0.9261,1,0.995,0.98411,0.13955,0.24153,0.56865,0.000297226,0.000297226,0.000297226
85,23342.4,0.09984,0.31983,0.88425,0.74168,0.97698,0.995,0.98187,0.15639,0.4204,0.59883,0.000280723,0.000280723,0.000280723
86,23616.7,0.09754,0.31412,0.87983,0.90935,0.98716,0.995,0.98187,0.16293,0.25694,0.62045,0.00026422,0.00026422,0.00026422
87,23890.8,0.09603,0.31856,0.88147,0.94703,1,0.995,0.9754,0.16216,0.1915,0.63573,0.000247716,0.000247716,0.000247716
